modificado,nombre,pagina,tipo,kb,link,disponible
,"BOLIVIA: INCIDENCIA EN EL PRODUCTO INTERNO BRUTO A PRECIOS CONSTANTES POR ACTIVIDAD ECONÓMICA SEGÚN TRIMESTRE, 1991 – 2024",Producto Interno Bruto Trimestral,,,https://nimbus.ine.gob.bo/index.php/s/XfMitxj88nE3oip/download,False
,"BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR GRUPO OCUPACIONAL Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2024",Censos de Población y Vivienda,,,https://nimbus.ine.gob.bo/index.php/s/XfgxKoP7jzW4r8c/download,False
,"BOLIVIA: PARTICIPACIÓN EN EL PRODUCTO INTERNO BRUTO A PRECIOS CORRIENTES POR ACTIVIDAD ECONÓMICA SEGÚN TRIMESTRE, 1990 – 2024",Producto Interno Bruto Trimestral,,,https://nimbus.ine.gob.bo/index.php/s/XqRjKsRoDHFGbAZ/download,False
,"SALARIO, REMUNERACIÓN Y EMPLEO DEL SECTOR PÚBLICO 2010 – 2017","Salarios, Remuneraciones y Empleo Sector Público",,,https://nimbus.ine.gob.bo/index.php/s/XrkcoF9ypW2oT5H/download,False
,"BOLIVIA: POBLACIÓN DE 6 O MÁS AÑOS DE EDAD POR IDIOMA DE MAYOR USO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2012 Y 2024",Idiomas,,,https://nimbus.ine.gob.bo/index.php/s/Xwow6TG987zTr8W/download,False
,"BOLIVIA: PROYECCIONES DE POBLACIÓN DE AMBOS SEXOS, POR DEPARTAMENTO SEGÚN EDADES SIMPLES, 2024-2034",Población y Hechos Vitales,,,https://nimbus.ine.gob.bo/index.php/s/XxZxSi83BHQaj2g/download,True
,BOLETÍN ESTADÍSTICO ENCUESTA CONTINUA DE EMPLEO ECE 2T-2026,Boletines Estadísticos,,,https://nimbus.ine.gob.bo/index.php/s/XyytkK8PTt4NQTX/download,True
,"BOLIVIA: VARIACIÓN DEL PRODUCTO INTERNO BRUTO A PRECIOS CONSTANTES POR TIPO DE GASTO, 1989 – 2024",Introducción,,,https://nimbus.ine.gob.bo/index.php/s/Xz35QSJGZddbCNG/download,False
,"BOLIVIA: HOGARES PARTICULARES Y PORCENTAJE QUE TIENEN INTERNET POR CATEGORÍAS SELECCIONADAS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2024",Censos,,,https://nimbus.ine.gob.bo/index.php/s/Y3g2Eg6wLfprwoT/download,False
,"BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y 2024",Estado Civil o Situación Conyugal,,,https://nimbus.ine.gob.bo/index.php/s/Y6dWkjK75paZZzW/download,False
,"BOLIVIA: VIVIENDAS PARTICULARES, COLECTIVAS, NÚMERO DE VIVIENDAS PARTICULARES POR CADA MIL HABITANTES, CRECIMIENTO INTERCENSAL DE VIVIENDAS PARTICULARES Y TASA MEDIA DE CRECIMIENTO ANUAL DE LAS VIVIENDAS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2024",Vivienda y Hogar,,,https://nimbus.ine.gob.bo/index.php/s/YNbbwBoPiNcZgnx/download,False
,SALARIOS Y REMUNERACIONES DEL SECTOR PRIVADO III TRIMESTRE 2021,"Salarios, Remuneraciones y Empleo de los Asalariados en el Sector Privado",,,https://nimbus.ine.gob.bo/index.php/s/YR6bXqeWSjyABNA/download,False
,"BOLIVIA: POBLACIÓN DE 6 O MÁS AÑOS DE EDAD POR IDIOMA DE MAYOR USO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2024",Idiomas,,,https://nimbus.ine.gob.bo/index.php/s/YaZw4gZaKMKg82W/download,False
,MATRIZ DE PRODUCCION A PRECIOS CORRIENTES 1997,Matrices de Producción,,,https://nimbus.ine.gob.bo/index.php/s/Yf8P9e4Nr98nEQy/download,False
,"BOLIVIA: POBLACIÓN POR COMPONENTES DEL ÍNDICE DE NECESIDADES BÁSICAS INSATISFECHAS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2024",Pobreza y Desigualdad,,,https://nimbus.ine.gob.bo/index.php/s/YfegJyspQwCtZDj/download,False
,"BOLIVIA: PRODUCTO INTERNO BRUTO A PRECIOS CORRIENTES POR TIPO DE GASTO SEGÚN TRIMESTRE, 1990 – 2024",Producto Interno Bruto Trimestral,,,https://nimbus.ine.gob.bo/index.php/s/ZBwn6sDZ4gbQxHG/download,False
,"BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES Y PERSONAS FALLECIDAS DECLARADAS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2024",Mortalidad,,,https://nimbus.ine.gob.bo/index.php/s/ZCdTTB4eSemXpJG/download,False
,DESCARGA DE BASE DE DATOS EN FORMATO REDATAM 7 — 603.6 MB (ZIP),Descargas,,,https://nimbus.ine.gob.bo/index.php/s/ZFcZgQxeymG4DeP/download,True
